"46 Murdoch Street Cremorne, NSW, 2090",LOT 1 DP81651,Residential,602,4,2,0,1903,"20 Sep 2012:$1,930,000、26 May 2010:$1,450,000、29 Nov 1984:$177,500、"
"52 Reynolds Street Cremorne, NSW, 2090",LOT 2 DP213666,Low Density Residential,285,3,2,0,1920,"14 Jan 2021:$0、16 May 2019:$2,300,000、10 Oct 2015:$2,100,000、27 Jun 2011:$1,050,000、"
"67 Benelong Road Cremorne, NSW, 2090",LOT B DP442011,Low Density Residential,229,3,2,1,1930,"7 Dec 2020:$2,160,000、20 Aug 2019:$2,075,000、29 May 2015:$1,625,000、1 Aug 2008:$1,240,000、29 Aug 2001:$605,000、"
"35 Ryries Parade Cremorne, NSW, 2090",LOT 30 DP10291,Environmental Living,493,5,3,2,2016,"5 Dec 2020:$6,195,000、30 Sep 2014:$1,266,666、26 Aug 2011:$1,612,741、30 Jul 1993:$450,000、"
"46 Murdoch Street Cremorne, NSW, 2090",LOT 1 DP81651,Residential,602,4,2,0,1903,"20 Sep 2012:$1,930,000、26 May 2010:$1,450,000、29 Nov 1984:$177,500、"
"52 Reynolds Street Cremorne, NSW, 2090",LOT 2 DP213666,Low Density Residential,285,3,2,0,1920,"14 Jan 2021:$0、16 May 2019:$2,300,000、10 Oct 2015:$2,100,000、27 Jun 2011:$1,050,000、"
"67 Benelong Road Cremorne, NSW, 2090",LOT B DP442011,Low Density Residential,229,3,2,1,1930,"7 Dec 2020:$2,160,000、20 Aug 2019:$2,075,000、29 May 2015:$1,625,000、1 Aug 2008:$1,240,000、29 Aug 2001:$605,000、"
"35 Ryries Parade Cremorne, NSW, 2090",LOT 30 DP10291,Environmental Living,493,5,3,2,2016,"5 Dec 2020:$6,195,000、30 Sep 2014:$1,266,666、26 Aug 2011:$1,612,741、30 Jul 1993:$450,000、"
"22 Tobruk Avenue Cremorne, NSW, 2090",LOT 1 DP841381,Residential,299,3,2,1,1995,"5 May 2018:$0、26 May 2011:$1,650,000、6 Dec 2001:$1,050,000、1 Jul 1994:$360,000、"
"54 Parraween Street Cremorne, NSW, 2090",LOT B DP366345,Residential,177,1,1,1,2008,"29 Nov 2020:$1,898,400、6 Feb 2019:$0、1 Jul 1988:$145,000、"
"110 Benelong Road Cremorne, NSW, 2090",LOT 3 DP105730,Residential,424,4,1,1,1920,"16 Aug 2019:$2,800,000、26 Feb 1992:$425,000、"
