23983463,44.61%,55.39%,45.06%,2.38%,38.34%,5.36%,5.00%,1.54%,2.33%,babbel.com
17984472,33.08%,66.92%,46.20%,2.49%,43.10%,1.20%,1.72%,1.63%,3.66%,babylist.com
376093,33.10%,66.90%,13.66%,0.00%,73.43%,0.00%,0.00%,3.33%,9.58%,ballislife.com
10643624,15.96%,84.04%,47.66%,2.30%,20.64%,7.92%,12.65%,3.66%,5.18%,barkbox.com
1340088,34.46%,65.54%,31.89%,0.67%,44.84%,0.00%,0.00%,4.81%,17.79%,baseballamerica.com
2655485,13.33%,86.67%,38.81%,2.50%,29.56%,14.12%,8.93%,1.66%,4.42%,bebe.com
153997947,42.32%,57.68%,31.12%,1.10%,36.62%,4.18%,22.36%,2.87%,1.76%,bedbathandbeyond.com
6996303,36.92%,63.08%,25.12%,3.32%,70.42%,0.01%,0.00%,0.49%,0.65%,beeradvocate.com
2023357,23.28%,76.72%,15.98%,0.03%,76.21%,0.00%,0.00%,6.86%,0.91%,beermenus.com
3318018,30.02%,69.98%,23.58%,2.03%,61.72%,0.42%,5.80%,2.14%,4.31%,bestfriends.org
45314012,16.36%,83.64%,11.35%,0.02%,45.18%,0.04%,43.20%,0.11%,0.11%,bestreviews.guide
16870849,12.33%,87.67%,14.47%,1.08%,57.63%,10.79%,0.07%,7.10%,8.87%,bet.com
15501292,44.89%,55.11%,49.11%,1.12%,37.40%,0.46%,0.32%,5.15%,6.43%,bethesda.net
5324607,74.00%,26.00%,79.72%,1.63%,13.95%,1.50%,1.25%,1.07%,0.88%,betterment.com
8535696,24.78%,75.22%,20.87%,0.52%,66.99%,0.02%,0.01%,0.61%,10.98%,biggerbolderbaking.com
9821086,63.17%,36.83%,39.69%,5.18%,52.33%,0.01%,0.01%,0.65%,2.12%,biggerpockets.com
80885633,28.06%,71.94%,18.04%,0.35%,67.49%,0.17%,0.00%,3.93%,10.02%,billboard.com
6327367,63.16%,36.84%,29.10%,0.58%,60.31%,0.11%,0.65%,5.39%,3.87%,bl.uk
5454878,30.02%,69.98%,40.55%,1.31%,35.22%,3.98%,9.46%,2.72%,6.76%,blackriflecoffee.com
1801609,24.83%,75.17%,21.71%,2.08%,35.55%,0.06%,0.00%,3.34%,37.27%,blavity.com
3633281,30.29%,69.71%,64.31%,0.36%,29.43%,0.01%,0.00%,1.45%,4.45%,bloodhorse.com
13488528,30.01%,69.99%,38.82%,0.34%,43.09%,0.02%,0.01%,1.36%,16.36%,bloody-disgusting.com
1562002,33.89%,66.11%,51.80%,1.99%,12.99%,1.64%,25.70%,1.14%,4.74%,bluefly.com
13406520,28.48%,71.52%,46.92%,3.61%,21.98%,6.16%,15.04%,2.99%,3.31%,bombas.com
41673620,47.33%,52.67%,25.94%,1.88%,64.92%,0.09%,0.18%,1.94%,5.06%,bonappetit.com
88239866,24.17%,75.83%,30.34%,0.94%,56.47%,2.67%,6.34%,1.41%,1.82%,boots.com
71704685,40.53%,59.47%,36.22%,1.15%,27.61%,0.13%,0.00%,2.33%,32.55%,boredpanda.com
1662105,26.37%,73.63%,17.35%,0.30%,63.97%,0.01%,15.50%,0.37%,2.49%,braceability.com
458455,61.67%,38.33%,85.84%,0.12%,6.52%,0.06%,0.13%,3.78%,3.55%,brandymelvilleusa.com
548157,35.31%,64.69%,46.08%,3.96%,16.68%,0.12%,1.97%,13.20%,17.99%,brayola.com
2289625,39.39%,60.61%,15.24%,0.25%,79.76%,0.00%,0.41%,3.57%,0.76%,briggsandstratton.com
1843940,36.10%,63.90%,44.10%,1.73%,12.59%,7.97%,4.05%,8.45%,21.11%,brightcellars.com
740367,42.16%,57.84%,25.46%,0.05%,35.91%,2.34%,33.81%,1.08%,1.35%,brighterblooms.com
14688132,58.05%,41.95%,60.21%,2.08%,25.00%,0.01%,0.00%,3.78%,8.92%,bringatrailer.com
168264124,51.66%,48.34%,12.66%,0.17%,84.86%,0.06%,0.01%,1.20%,1.04%,britannica.com
4230752,29.02%,70.98%,28.18%,0.70%,41.10%,0.02%,0.00%,2.39%,27.61%,brooklynvegan.com
891743,41.48%,58.52%,32.43%,2.33%,46.12%,2.49%,11.05%,3.54%,2.04%,brookstone.com
12891725,34.89%,65.11%,41.65%,0.98%,49.39%,0.40%,0.00%,1.52%,6.05%,budgetbytes.com
575121,32.31%,67.69%,57.51%,1.33%,25.76%,0.04%,8.59%,2.89%,3.88%,bulbhead.com
2931378,38.96%,61.04%,35.34%,1.41%,52.44%,1.17%,5.13%,2.58%,1.94%,bulletproof.com
381937439,38.04%,61.96%,16.23%,0.46%,70.65%,0.08%,0.01%,2.60%,9.97%,businessinsider.com
417013461,34.18%,65.82%,47.09%,1.30%,25.28%,0.29%,0.00%,3.91%,22.13%,buzzfeed.com
4718996,95.48%,4.52%,62.34%,4.23%,10.40%,0.02%,0.01%,22.46%,0.54%,car.org
