分享一下保研资料，需要的留言,已经成功保研，分享自己整理的保研资料。包含：往年经管类夏令营简章+个人陈述模板+中英文简历模板+推荐信模板+导师邮件+PPT素材<br/>
这种情况能直博吗,大家好，我想问下了这种情况能直博到本校吗（本校是指双非一本）
想做直博的联系我呦  帮你们传授经验,wxs199905
直博的学姐学长们，请你们指点，教育学硕士专业怎么选择,学长学姐们，教育学硕士专业怎么选择？请你们指点一二，专硕和学术建议哪个？
ssci 专业润色发表，可经济，管理，心理学，医学，艺术，新,ssci 专业润色发表，可经济，管理，心理学，医学，艺术，新媒体，可持续发展，公共健康，文学，教育学，社会学，哲学（伦理学）。<br/>ei sci专业润色发表，可计算机，区块链，人工智能，工程技术，机器学习，流体力学，岩土，土木，生态，环境，图像影像，海洋海事，纳米材料，农业生物，遗传学，医疗等方向。<br/>公司一手资源，安全稳妥。<br/>
各位学长学姐，请问一下，直博可以转硕吗？转成硕士还要退回所有,各位学长学姐，请问一下，直博可以转硕吗？转成硕士还要退回所有补贴吗？
SCI深度学习资源 预计明年3月见刊JCR2区 中科院3区,SCI深度学习资源 预计明年3月见刊<br/>JCR2区 中科院3区 if2.7<br/>超高性价比 代发3.x万<br/>可结合数据分析，量子建模，机械工程，光学，金融，经济，管理，心理学，医学，艺术，新媒体，体育，教育学，旅游，设计，社会学等……(必须结合深度学习，政史方向暂不收)<br/>
清华大学医学部-北京协和医学院杨菁课题组招博士-直博生,<br/>
直博的一些疑问。,申请直博一定要获得本科学校的推免资格吗？有没有例外的。像上海交大这样的学校呢？
[公告]关于撤销 walyayst 吧主管理权限的说明,经核实吧主walyayst 未通过普通吧主考核。违反《百度贴吧吧主制度》第八章规定http://tieba.baidu.com/tb/system.html#cnt08 ，无法在建设 直博吧 内容上、言论导向上发挥应有的模范带头作用。故撤销其吧主管理权限。百度贴吧管理组
要不要直博？纠结死了,是这样的，我是普通一本学校的本科生，基本上能拿到本校的推免名额，我通过我们学校老师联系了一个211大学的导师，那边说可能的准备直博，说实话，楼主对做科研是没什么兴趣的，而且听说直博毕业很难，中途放弃连硕士学位都拿不着，很头疼。开学马上就要去复试了，我想请问选择直博还是读研是复试完之后还是复试之前，复试的时候我如果说不想直博而打算直接读研导师该不会就不要我了吧……
